Lexeme               Line   Token                     Value           Parent NT                      Leaf?  Node Symbol
-----------------------------------------------------------------------------------------------------------
_readMarks           8      TK_FUNID                  ----            <function>                     yes    ----
----                 ----   ----                      ----            <otherFunctions>               no     <function>
input                8      TK_INPUT                  ----            <input_par>                    yes    ----
----                 ----   ----                      ----            <function>                     no     <input_par>
parameter            8      TK_PARAMETER              ----            <input_par>                    yes    ----
list                 8      TK_LIST                   ----            <input_par>                    yes    ----
[                    8      TK_SQL                    ----            <input_par>                    yes    ----
int                  8      TK_INT                    ----            <primitiveDatatype>            yes    ----
----                 ----   ----                      ----            <dataType>                     no     <primitiveDatatype>
----                 ----   ----                      ----            <parameter_list>               no     <dataType>
----                 ----   ----                      ----            <input_par>                    no     <parameter_list>
b7                   8      TK_ID                     ----            <parameter_list>               yes    ----
----                 ----   TK_EPS                    ----            <remaining_list>               yes    ----
----                 ----   ----                      ----            <parameter_list>               no     <remaining_list>
]                    8      TK_SQR                    ----            <input_par>                    yes    ----
output               9      TK_OUTPUT                 ----            <output_par>                   yes    ----
----                 ----   ----                      ----            <function>                     no     <output_par>
parameter            9      TK_PARAMETER              ----            <output_par>                   yes    ----
list                 9      TK_LIST                   ----            <output_par>                   yes    ----
[                    9      TK_SQL                    ----            <output_par>                   yes    ----
record               9      TK_RECORD                 ----            <constructedDatatype>          yes    ----
----                 ----   ----                      ----            <dataType>                     no     <constructedDatatype>
#marks               9      TK_RUID                   ----            <constructedDatatype>          yes    ----
----                 ----   ----                      ----            <parameter_list>               no     <dataType>
----                 ----   ----                      ----            <output_par>                   no     <parameter_list>
b3c45                9      TK_ID                     ----            <parameter_list>               yes    ----
----                 ----   TK_EPS                    ----            <remaining_list>               yes    ----
----                 ----   ----                      ----            <parameter_list>               no     <remaining_list>
]                    9      TK_SQR                    ----            <output_par>                   yes    ----
;                    9      TK_SEM                    ----            <function>                     yes    ----
----                 ----   TK_EPS                    ----            <typeDefinitions>              yes    ----
----                 ----   ----                      ----            <stmts>                        no     <typeDefinitions>
----                 ----   ----                      ----            <function>                     no     <stmts>
----                 ----   TK_EPS                    ----            <declarations>                 yes    ----
----                 ----   ----                      ----            <stmts>                        no     <declarations>
read                 10     TK_READ                   ----            <ioStmt>                       yes    ----
----                 ----   ----                      ----            <stmt>                         no     <ioStmt>
(                    10     TK_OP                     ----            <ioStmt>                       yes    ----
b3c45                10     TK_ID                     ----            <singleOrRecId>                yes    ----
----                 ----   ----                      ----            <var>                          no     <singleOrRecId>
.                    10     TK_DOT                    ----            <oneExpansion>                 yes    ----
----                 ----   ----                      ----            <option_single_constructed>    no     <oneExpansion>
maths                10     TK_FIELDID                ----            <oneExpansion>                 yes    ----
----                 ----   ----                      ----            <singleOrRecId>                no     <option_single_constructed>
----                 ----   TK_EPS                    ----            <moreExpansions>               yes    ----
----                 ----   ----                      ----            <option_single_constructed>    no     <moreExpansions>
----                 ----   ----                      ----            <ioStmt>                       no     <var>
)                    10     TK_CL                     ----            <ioStmt>                       yes    ----
;                    10     TK_SEM                    ----            <ioStmt>                       yes    ----
----                 ----   ----                      ----            <otherStmts>                   no     <stmt>
----                 ----   ----                      ----            <stmts>                        no     <otherStmts>
read                 11     TK_READ                   ----            <ioStmt>                       yes    ----
----                 ----   ----                      ----            <stmt>                         no     <ioStmt>
(                    11     TK_OP                     ----            <ioStmt>                       yes    ----
b3c45                11     TK_ID                     ----            <singleOrRecId>                yes    ----
----                 ----   ----                      ----            <var>                          no     <singleOrRecId>
.                    11     TK_DOT                    ----            <oneExpansion>                 yes    ----
----                 ----   ----                      ----            <option_single_constructed>    no     <oneExpansion>
physics              11     TK_FIELDID                ----            <oneExpansion>                 yes    ----
----                 ----   ----                      ----            <singleOrRecId>                no     <option_single_constructed>
----                 ----   TK_EPS                    ----            <moreExpansions>               yes    ----
----                 ----   ----                      ----            <option_single_constructed>    no     <moreExpansions>
----                 ----   ----                      ----            <ioStmt>                       no     <var>
)                    11     TK_CL                     ----            <ioStmt>                       yes    ----
;                    11     TK_SEM                    ----            <ioStmt>                       yes    ----
----                 ----   ----                      ----            <otherStmts>                   no     <stmt>
----                 ----   ----                      ----            <otherStmts>                   no     <otherStmts>
read                 12     TK_READ                   ----            <ioStmt>                       yes    ----
----                 ----   ----                      ----            <stmt>                         no     <ioStmt>
(                    12     TK_OP                     ----            <ioStmt>                       yes    ----
b3c45                12     TK_ID                     ----            <singleOrRecId>                yes    ----
----                 ----   ----                      ----            <var>                          no     <singleOrRecId>
.                    12     TK_DOT                    ----            <oneExpansion>                 yes    ----
----                 ----   ----                      ----            <option_single_constructed>    no     <oneExpansion>
chemistry            12     TK_FIELDID                ----            <oneExpansion>                 yes    ----
----                 ----   ----                      ----            <singleOrRecId>                no     <option_single_constructed>
----                 ----   TK_EPS                    ----            <moreExpansions>               yes    ----
----                 ----   ----                      ----            <option_single_constructed>    no     <moreExpansions>
----                 ----   ----                      ----            <ioStmt>                       no     <var>
)                    12     TK_CL                     ----            <ioStmt>                       yes    ----
;                    12     TK_SEM                    ----            <ioStmt>                       yes    ----
----                 ----   ----                      ----            <otherStmts>                   no     <stmt>
----                 ----   ----                      ----            <otherStmts>                   no     <otherStmts>
----                 ----   TK_EPS                    ----            <otherStmts>                   yes    ----
----                 ----   ----                      ----            <otherStmts>                   no     <otherStmts>
return               13     TK_RETURN                 ----            <returnStmt>                   yes    ----
----                 ----   ----                      ----            <stmts>                        no     <returnStmt>
[                    13     TK_SQL                    ----            <optionalReturn>               yes    ----
----                 ----   ----                      ----            <returnStmt>                   no     <optionalReturn>
b3c45                13     TK_ID                     ----            <idList>                       yes    ----
----                 ----   ----                      ----            <optionalReturn>               no     <idList>
----                 ----   TK_EPS                    ----            <more_ids>                     yes    ----
----                 ----   ----                      ----            <idList>                       no     <more_ids>
]                    13     TK_SQR                    ----            <optionalReturn>               yes    ----
;                    13     TK_SEM                    ----            <returnStmt>                   yes    ----
end                  14     TK_END                    ----            <function>                     yes    ----
----                 ----   ----                      ----            <program>                      no     <otherFunctions>
----                 ----   TK_EPS                    ----            <otherFunctions>               yes    ----
----                 ----   ----                      ----            <otherFunctions>               no     <otherFunctions>
----                 ----   ----                      ----            ROOT                           no     <program>
_main                20     TK_MAIN                   ----            <mainFunction>                 yes    ----
----                 ----   ----                      ----            <program>                      no     <mainFunction>
record               21     TK_RECORD                 ----            <typeDefinition>               yes    ----
----                 ----   ----                      ----            <actualOrRedefined>            no     <typeDefinition>
#marks               21     TK_RUID                   ----            <typeDefinition>               yes    ----
type                 22     TK_TYPE                   ----            <fieldDefinition>              yes    ----
----                 ----   ----                      ----            <fieldDefinitions>             no     <fieldDefinition>
real                 22     TK_REAL                   ----            <primitiveDatatype>            yes    ----
----                 ----   ----                      ----            <fieldType>                    no     <primitiveDatatype>
----                 ----   ----                      ----            <fieldDefinition>              no     <fieldType>
:                    22     TK_COLON                  ----            <fieldDefinition>              yes    ----
maths                22     TK_FIELDID                ----            <fieldDefinition>              yes    ----
;                    22     TK_SEM                    ----            <fieldDefinition>              yes    ----
----                 ----   ----                      ----            <typeDefinition>               no     <fieldDefinitions>
type                 23     TK_TYPE                   ----            <fieldDefinition>              yes    ----
----                 ----   ----                      ----            <fieldDefinitions>             no     <fieldDefinition>
real                 23     TK_REAL                   ----            <primitiveDatatype>            yes    ----
----                 ----   ----                      ----            <fieldType>                    no     <primitiveDatatype>
----                 ----   ----                      ----            <fieldDefinition>              no     <fieldType>
:                    23     TK_COLON                  ----            <fieldDefinition>              yes    ----
physics              23     TK_FIELDID                ----            <fieldDefinition>              yes    ----
;                    23     TK_SEM                    ----            <fieldDefinition>              yes    ----
type                 24     TK_TYPE                   ----            <fieldDefinition>              yes    ----
----                 ----   ----                      ----            <moreFields>                   no     <fieldDefinition>
real                 24     TK_REAL                   ----            <primitiveDatatype>            yes    ----
----                 ----   ----                      ----            <fieldType>                    no     <primitiveDatatype>
----                 ----   ----                      ----            <fieldDefinition>              no     <fieldType>
:                    24     TK_COLON                  ----            <fieldDefinition>              yes    ----
chemistry            24     TK_FIELDID                ----            <fieldDefinition>              yes    ----
;                    24     TK_SEM                    ----            <fieldDefinition>              yes    ----
----                 ----   ----                      ----            <fieldDefinitions>             no     <moreFields>
----                 ----   TK_EPS                    ----            <moreFields>                   yes    ----
----                 ----   ----                      ----            <moreFields>                   no     <moreFields>
endrecord            25     TK_ENDRECORD              ----            <typeDefinition>               yes    ----
----                 ----   ----                      ----            <typeDefinitions>              no     <actualOrRedefined>
